ID,Phone Number رقم الهاتف,Company الشركة,latitutde,longitude
62307697,001-848-180-4738x0031,LightCyan,آل خضير PLC,-62.9618555,-35.505760
61128361,+1-985-494-4643x70722,DarkOliveGreen,"آل جعفر, الدباغ and حجار",-57.8332545,11.414138
79610797,+1-981-444-6869,LightSalmon,بقشان-الجفالي,58.698308,18.166259
60964458,001-909-607-5290x6996,SteelBlue,"الراشد, أبو داوود and آل العسكري",64.721014,66.559570
95955889,+1-939-589-3500x5232,CadetBlue,"حجار, آل معيض and آل محمد بن علي بن جماز",15.8803745,53.880117
99238087,001-468-400-7643x9760,Chartreuse,آل خضير Inc,57.8553355,125.393768
18632019,361-789-5086x39568,Gold,أبو داوود-فصيل,-69.925320,166.663256
78586802,(745)822-2515,SkyBlue,آل بن لافي-آل معيض,0.1400815,102.223864
28385868,720-526-3737x5399,White,آل الشيخ-آل حسين,37.860482,110.435477
58205785,001-135-750-7775x3447,YellowGreen,حنبولي and Sons,-41.1734025,-145.808055
89438497,625-009-5277x558,LightCoral,"آل صفوان, أبو داوود and آل بن لافي",68.373243,62.718227
93661560,7339509007,Sienna,"مهنا, آل عايض and آل خضير",-88.4074755,-6.346494
28912460,988.619.1933x7829,SandyBrown,حجار and Sons,12.1308895,-97.444075
08690142,460.288.3281x649,SteelBlue,أبو داوود-آل معيض,-49.6470415,-18.250051
38129070,106-354-0200x6193,DimGray,حجار Group,-17.3298605,127.251116
02079721,678-973-9982,SlateBlue,آل عواض-آل حسين,42.3741995,94.411262
42638391,802.571.7749x523,DarkSlateBlue,بقشان-الحجار,-20.3852405,-120.479559
96527351,(668)187-8621x250,IndianRed,بن لادن-آل سلطان,-54.9846565,133.172315
33040288,728-167-6732x331,MediumPurple,آل عواض LLC,64.512238,15.051494
66037927,310-555-0666,ForestGreen,"آل سلطان, الخرافي and بقشان",-6.9059105,-15.502269
37480943,001-189-946-0137x79926,Gainsboro,آل الشيخ and Sons,-37.1421985,-70.336114
90600104,430.648.1325x49236,MediumBlue,آل محمد بن علي بن جماز and Sons,-30.360299,-71.594618
08230065,915-603-5044,YellowGreen,"المغاولة, آل حسين and بقشان",30.7341105,126.449320
28657347,(659)555-3458x54759,SkyBlue,"آل بن لافي, أبو داوود and أبو داوود",46.841107,61.647561
98921973,023.742.6402,Orange,آل عايض LLC,-87.162687,-84.245104
44181925,973.229.4341,Beige,الراشد-المهنا,48.719319,-32.393599
28248286,+1-437-054-8065x8078,Fuchsia,بن لادن-المهيدب,2.7516295,73.117170
28539551,2343132135,IndianRed,"الخرافي, آل سعود and الجفالي",51.983156,70.058067
64991047,001-764-903-3713x658,Tan,آل سلطان PLC,81.7191005,34.603156
09917125,155.214.4867x12657,RoyalBlue,فصيل-آل سلطان,-64.943549,134.991257
03626009,001-179-069-6224,DarkBlue,الدباغ-الشايع,67.8895725,101.622349
04292340,354.389.3523,DarkSlateGray,آل بن لافي and Sons,47.621675,-77.637964
96492581,8216888949,AntiqueWhite,"فصيل, آل معيض and آل خضير",-46.158371,-86.362844
58074503,+1-538-628-5376x3203,Cornsilk,"آل خضير, العجلان and كانو",-81.548962,-97.801375
73414278,954.846.9650x532,MidnightBlue,المشاولة Ltd,-6.270493,169.464547
80178224,(992)240-7967x015,Cornsilk,العجلان-أبو داوود,59.6242645,122.776181
01189452,001-124-132-4681x80647,DarkOliveGreen,"شربتلي, أبا الخيل and أبو داوود",-89.196028,-136.370846
73636656,(434)552-2027x666,PaleTurquoise,آل الشيخ PLC,-16.7674305,38.361387
73565161,(954)462-8451,Gold,الخرافي and Sons,-35.3064675,0.749246
57945200,(124)680-5869x0084,MediumBlue,آل قصير-المهنا,42.2811115,75.690620
80038917,(341)706-8548,Orchid,آل سلطان-حنبولي,-76.4353705,-89.776795
49682892,006-051-5216x526,MediumOrchid,المشاولة-آل بن ظافر,-16.7435995,-45.535646
12923465,001-489-080-8898x23449,Brown,آل قصير PLC,-30.240443,157.775824
38251443,525.211.0222x19817,OldLace,آل عايض Ltd,-19.924175,-136.192838
62362153,279-229-5156x82102,LavenderBlush,آل سعود Ltd,-62.0025655,-33.437197
65808054,617-380-6508x136,Fuchsia,الراشد-آل عواض,-77.4701685,167.325168
81791033,001-494-052-6266,MediumAquaMarine,"المشاولة, آل عطفة and الحجار",-14.063892,-142.110746
71619538,001-275-291-3991x903,RoyalBlue,المغاولة PLC,21.109142,-141.771298
88597409,285.463.9144,OrangeRed,آل حسين-آل عواض,57.0063605,-116.677522
48339346,+1-608-548-6460,DarkSeaGreen,"المهنا, كانو and الحجار",-22.487308,59.918665
60840455,8716477392,Blue,"آل حسين, الشايع and آل بن ظافر",37.5077625,131.977100
76425462,(359)832-1596,SlateGray,العليان-آل مقطة,-44.9891865,-69.357309
63470420,001-087-610-3515,Black,"العقيل, العقيل and آل بن لافي",13.381413,-126.377785
23785359,708-348-4254,Fuchsia,"آل بن ظافر, العقيل and بقشان",-70.812043,69.728047
90740169,001-309-339-3403x551,MediumSpringGreen,آل حسين-المغاولة,24.6749665,91.181903
14044281,001-891-654-3057x1479,SlateGray,آل بن لافي Group,-36.1539705,-151.929931
71739076,082.537.3744x646,DarkSlateBlue,"المشاولة, المهنا and فصيل",-61.5335605,-166.558874
76327667,(769)088-7189,SlateBlue,"آل مقطة, آل علي and المشاولة",12.704609,-101.743554
49796780,(282)673-2728,DodgerBlue,آل عطفة-العليان,-25.439405,0.221487
98615841,563-868-3402x564,LawnGreen,الحكير-آل صفوان,28.643148,51.850522
31201056,561-337-4077x827,Beige,"آل عواض, آل العسكري and آل معيض",1.8526695,-144.641590
36118632,6412792125,PapayaWhip,المغاولة PLC,-87.2305805,126.571046
02666310,230-997-9945,DarkOrchid,"آل معيض, فصيل and آل خضير",-21.382898,-148.240904
39009999,190-668-9721,Bisque,كانو Ltd,-22.1703205,36.648171
22875709,+1-470-504-4614x90748,PeachPuff,"أبا الخيل, حنبولي and الجفالي",37.2905595,-59.291923
70837308,376.225.9560x305,LightSteelBlue,المغاولة Inc,65.884144,166.526635
59318460,(716)711-1719,Blue,"حنبولي, آل جعفر and العقيل",4.8106565,-11.558166
80724285,676-260-1423x75669,Silver,"آل محمد بن علي بن جماز, الراشد and المهنا",73.652468,159.085647
39639004,001-647-486-1013,Crimson,"آل بن ظافر, الحكير and حجار",-27.4585945,-27.861810
06011222,491.567.9493x292,Khaki,الخرافي-العليان,53.8133275,-4.515409
51655358,5660192721,SkyBlue,حنبولي-آل بن لافي,-46.7851055,165.083479
38707346,649.770.2706x46762,Teal,كانو-الجابر,14.610422,-144.047519
18989823,(145)804-1803,LightYellow,"الشايع, آل مقطة and مهنا",-58.268240,17.875642
04747475,(994)535-5053,Olive,آل سلطان PLC,39.370216,105.541771
04200567,+1-337-315-3790,Gray,"آل مقطة, آل عواض and حنبولي",-34.9336105,-64.243085
68758639,001-001-748-3560,Peru,بن لادن Group,-79.4316605,-178.508187
11756200,8201606201,Green,آل حسين-المشاولة,-84.362683,81.149598
35457411,001-384-736-3251,MediumSlateBlue,آل رفيع-آل الشيخ,88.369581,63.694480
01856132,(661)365-6688x23673,DarkGreen,الراشد-الخرافي,-67.4730825,-36.101547
86014472,+1-029-533-1488x2197,LightSteelBlue,آل معيض Ltd,58.9330025,107.900497
51765668,842.163.2486x037,Aqua,بن لادن LLC,9.287607,-62.734403
06643256,001-526-315-4618x4467,Coral,آل قصير Ltd,-43.7423495,122.143017
44183769,+1-731-714-2513x8108,DarkSalmon,آل قصير Inc,49.160587,-164.499284
72386804,001-013-572-3025x410,DarkTurquoise,"بقشان, آل رفيع and آل رفيع",69.609856,-29.124693
54838062,030.074.8106,DarkSlateGray,"آل عطفة, آل العسكري and أبو داوود",15.7883525,63.869397
61585294,(681)023-9288,LightSteelBlue,آل سلطان-آل عواض,13.3673675,-124.424108
08888778,+1-734-796-9958,SeaGreen,بقشان-آل بن ظافر,-70.5363265,-108.707423
49589900,001-800-601-7628,LightGoldenRodYellow,"آل علي, آل معيض and المهنا",-74.004582,170.918710
61720343,(574)760-6821,White,"حجار, أبا الخيل and آل عايض",83.8756865,18.583374
33992976,001-310-558-6494x12989,Black,"آل سعود, المغاولة and المشاولة",-75.607240,114.206584
56948639,(378)678-6721,MediumPurple,العقيل and Sons,61.958360,23.064630
84605375,+1-659-170-9581x44367,WhiteSmoke,"آل علي, المغاولة and أبا الخيل",8.610305,179.137167
03649183,001-890-065-8414x9431,Purple,"حنبولي, آل علي and كانو",-70.6189405,119.204498
06862800,(267)403-7156,SeaShell,"بقشان, المشاولة and آل علي",27.0918495,103.882076
62962162,(487)439-2866x391,Pink,الراشد Group,44.7309265,102.189700
11009306,670-447-4528x05773,DarkOrchid,حنبولي LLC,47.164148,134.063964
43975280,594-633-8710x04122,Black,آل صفوان-الدباغ,-59.5987735,68.599770
81968817,(023)594-7865x175,BlueViolet,"آل العسكري, المغاولة and فصيل",64.5620865,-91.726785
69659188,+1-616-172-7978,Tan,آل العسكري-الحكير,66.9307925,148.773166
96716892,+1-611-368-9670x725,LightBlue,آل عايض Group,77.4423555,20.649683
04025580,463-762-6574x8308,Indigo,آل بن لافي PLC,-73.7618665,-65.927983
60683786,3987226462,SlateGray,العجلان Inc,-49.893839,49.663404
03725009,915-166-0423,RoyalBlue,المغاولة Group,-88.790461,110.371378
84414755,002.948.4625x95946,Azure,آل قصير-الراشد,-75.885645,60.631810
60176103,(521)326-7274,Thistle,الدباغ PLC,8.735364,-79.484143
34913840,001-959-953-8244x83416,OrangeRed,آل صفوان-المشاولة,50.835843,-161.700445
87104936,692.429.6787,SkyBlue,الراشد and Sons,13.9103645,106.956982
14499159,001-000-375-0004x25318,Tomato,آل مقطة Ltd,32.382297,171.828277
32599107,001-059-240-6134,Aqua,العقيل-الخرافي,-48.739322,-89.502005
95314761,620-341-1929x7613,DarkOliveGreen,العجلان and Sons,20.9556605,11.912327
13088552,226-471-8478x21988,DarkGreen,آل علي PLC,42.851997,-45.544172
36295821,519-951-5396,PaleGreen,"آل الشيخ, الحكير and آل بن ظافر",58.343365,95.303537
37506926,(994)177-2833x79610,RosyBrown,آل بن لافي Inc,62.693271,19.444105
61250116,295.511.3160,OliveDrab,الشايع Ltd,52.6007025,-147.032136
24928496,+1-499-433-4119,Chocolate,بن لادن Group,-89.246116,-37.854523
59020950,441.933.4982x09560,Coral,آل قصير Group,33.0040345,-69.501676
89957288,783-674-3116,Tomato,"آل العسكري, آل معيض and الدباغ",-67.7813415,-103.199050
80098997,(299)686-0279,LawnGreen,الحكير and Sons,37.1046225,102.089235
89342336,023-984-1979x013,MediumPurple,آل مقطة-آل عايض,-39.615796,-60.428595
31690935,669-491-9543x617,Violet,"آل خضير, آل حسين and آل عايض",16.0028555,99.039559
46562999,+1-273-731-7933x026,SkyBlue,"الحجار, آل الشيخ and شربتلي",58.088685,123.134581
68419363,001-074-650-4590x976,FloralWhite,المهنا Ltd,7.105959,157.248373
90999505,001-051-638-9960x5303,Olive,العقيل-آل علي,42.081328,-93.890627
29230716,(378)036-5840x9696,FireBrick,آل بن لافي-آل عطفة,89.471670,114.115902
09241251,777.973.7341x4150,LightBlue,مهنا and Sons,-65.249057,-83.190405
80396291,9877769570,Cyan,آل بن لافي-العجلان,-35.5686465,155.019071
07905742,(262)619-6153x027,NavajoWhite,الراشد Group,-47.8223175,155.681869
79421867,001-547-937-7687x7749,Fuchsia,الخرافي PLC,-48.988452,152.945920
03054567,413-035-2302,PowderBlue,فصيل PLC,47.549731,-101.379162
67346851,746.623.4683x087,SpringGreen,المشاولة and Sons,23.4718615,142.107472
16188198,264-326-2583x9097,Yellow,آل عطفة-آل سلطان,5.814699,-142.335384
53094698,9627197147,DarkSlateGray,"كانو, الحكير and كانو",24.6172465,-151.849611
02432076,572-962-4960x70104,DarkMagenta,آل العسكري-آل جعفر,-51.7768065,-140.231324
26279756,838-878-6127x8826,WhiteSmoke,آل صفوان Group,66.1505245,-164.798875
40795089,(544)318-3140,DeepSkyBlue,العقيل Inc,26.8529325,129.394484
76502989,(728)693-8209x0524,DarkGray,العجلان and Sons,-24.630104,152.451569
39343970,064.836.5125,MediumOrchid,المهيدب PLC,-77.217038,45.076419
26889733,245.096.8983x268,MediumOrchid,حجار Ltd,-75.838516,-97.412910
03866658,+1-477-279-9987,DarkTurquoise,"حنبولي, المشاولة and فصيل",6.1867785,83.640700
13717155,945-422-1875x15899,Yellow,الجفالي Group,-87.510230,-114.265774
10456330,001-507-365-0988x965,PaleGreen,"بن لادن, آل العسكري and العليان",12.1037575,-160.761753
58678848,001-999-590-8463x95174,Teal,آل مقطة-الراشد,71.799721,87.580112
52266485,+1-852-392-6825x28666,SlateGray,أبا الخيل-أبا الخيل,63.228023,85.329953
56067965,(576)013-6684x8197,Cornsilk,آل الشيخ-الحكير,-44.524796,126.052370
25397949,623.866.0876x04464,LemonChiffon,العجلان and Sons,-78.760878,-44.376769
92277564,009-920-2973x00414,MediumSpringGreen,الخرافي and Sons,45.9518585,-146.647877
84662033,001-186-245-4215x8569,SpringGreen,"الجفالي, حجار and آل جعفر",-43.3054055,-59.792671
79156479,(803)332-8497x863,LightGreen,العليان-أبو داوود,21.766244,32.192540
41500415,133.416.0351x388,OldLace,"آل مقطة, بن لادن and آل بن لافي",-50.752647,95.720409
87562477,+1-040-756-5121,HotPink,الحكير-آل قصير,-77.799824,144.943529
69987748,(904)760-4367x0314,Orange,آل معيض-الراشد,-35.7665955,61.426782
45316524,(740)727-8094,GhostWhite,العقيل-بن لادن,74.750964,114.609154
88710686,312-489-7567x53957,Sienna,"آل مقطة, آل بن ظافر and آل قصير",-77.879691,137.007446
30030800,+1-955-829-5674x804,SeaShell,"آل محمد بن علي بن جماز, آل سلطان and الشايع",12.262708,-0.742568
69274916,+1-905-579-2185x30374,NavajoWhite,آل جعفر Inc,-61.1772455,70.774697
16539983,594-175-2802x21519,DarkSalmon,"آل سعود, العقيل and آل حسين",5.076324,1.024052
26376547,371.922.2855x1848,Aquamarine,المغاولة-المهيدب,59.050448,76.383780
72632697,(797)350-0176x56431,DeepPink,"أبو داوود, المهنا and الشايع",67.6403675,-159.660337
04530404,745-883-9039x3097,SlateBlue,أبا الخيل-أبا الخيل,64.804656,-154.583699
41690543,(100)168-4836,Teal,الشايع-آل حسين,55.5086515,1.857087
33075662,(548)670-0003,Lime,"آل الشيخ, الخرافي and آل عطفة",55.9732425,-69.304078
99606251,+1-586-794-2356x8488,Cyan,آل العسكري LLC,22.0670505,159.186702
94168617,001-946-828-1297x909,Violet,أبا الخيل-الحكير,-33.5932765,50.866548
36552658,(396)565-3467x48409,Black,"المهيدب, بن لادن and فصيل",40.9188685,-141.055820
77708236,001-997-300-0247x4419,Turquoise,حجار-حجار,-77.828809,-103.582734
11852643,(013)527-6618,White,"أبو داوود, حنبولي and المهنا",-53.073261,-166.800161
22402417,(971)270-6108,Coral,"آل محمد بن علي بن جماز, آل بن ظافر and أبو داوود",-72.895060,75.611755
56912845,800-604-2344x20871,PaleGoldenRod,آل صفوان-الحكير,6.387941,-149.509608
94029741,892-146-2077x0722,Crimson,آل عطفة Ltd,-24.7323445,84.639419
00623018,244.109.3678x64121,Moccasin,آل محمد بن علي بن جماز LLC,-70.4783635,-151.732500
36133093,001-674-103-6156x46974,Beige,"الشايع, المهيدب and آل سلطان",-32.026609,-67.063805
87515060,327.468.9697,MediumOrchid,آل العسكري-فصيل,-28.666332,-13.906007
30188174,231.571.2600x671,Brown,"فصيل, شربتلي and آل عطفة",-52.9561025,146.497086
60774866,001-496-134-7642x5973,DarkCyan,"آل محمد بن علي بن جماز, العليان and الحكير",-70.277821,-9.778456
38272806,(242)255-1021,Lime,آل قصير-آل عايض,74.612877,-137.517204
36451821,270.212.2961,DarkBlue,العليان LLC,-74.869910,-149.490380
00197687,031-689-7832x46693,DarkOrchid,الحكير and Sons,-84.118502,61.927816
89773949,(581)080-5397,Turquoise,"حنبولي, الشايع and العجلان",32.655642,114.027816
86442978,001-482-462-9606x478,Turquoise,المغاولة-المهيدب,63.6960095,5.472479
60643667,326.557.5308x0608,OliveDrab,آل رفيع LLC,-27.3339755,-175.774025
69938443,(078)647-1068x627,FireBrick,آل عايض Inc,88.1371675,-106.750491
81988419,275.721.8943,SteelBlue,كانو-أبا الخيل,5.2476445,146.191877
87431575,(195)650-4717,MediumSlateBlue,آل بن ظافر LLC,-32.222220,62.927151
33773391,+1-985-759-4457x36453,Silver,كانو Ltd,-36.8083015,-71.540089
30091290,001-910-110-8792x012,SpringGreen,"آل خضير, المغاولة and آل صفوان",8.1043125,61.647987
93132749,731-312-6558,Blue,بقشان Ltd,-87.5666295,64.438170
85320833,(890)374-8562,YellowGreen,الشايع-آل عايض,-51.7123015,22.992090
11593638,112-839-6035x6252,DodgerBlue,المغاولة-شربتلي,-88.664795,53.275315
73534884,407-290-2730,DarkGray,فصيل LLC,65.862089,-99.883492
04013822,(537)185-7501,Wheat,"المهنا, آل الشيخ and آل صفوان",-39.389460,72.729060
48726528,(161)746-2901x81420,FloralWhite,"الجابر, العليان and آل بن ظافر",-32.222078,-149.313762
22463005,8998514370,WhiteSmoke,آل الشيخ-آل مقطة,-84.645435,76.189241
44279769,871-665-6403x458,DarkViolet,آل معيض-آل حسين,75.476203,-131.918308
21268786,(064)554-1621,Coral,"آل سعود, آل رفيع and آل خضير",42.4401555,-112.919431
76374791,001-346-639-2738x5292,HotPink,"أبو داوود, آل معيض and شربتلي",-25.5358385,50.665909
97020646,001-216-075-5386x9214,Blue,آل معيض PLC,-84.7843565,-77.382072
55041119,490-590-0051x308,PeachPuff,الجفالي-آل عواض,-61.397577,134.635692
15049698,018-996-2735x72370,MediumTurquoise,الجابر Ltd,-30.334178,-30.543267
01471113,001-179-838-2185x424,LemonChiffon,"بن لادن, حجار and الجفالي",66.139805,1.255815
30173637,1379858382,MidnightBlue,"مهنا, حجار and الدباغ",28.3754115,90.599536
60618269,188.391.1494x824,Salmon,"فصيل, العجلان and الخرافي",-30.037331,65.544564
84296986,218-188-6059,Thistle,"آل صفوان, آل عواض and آل جعفر",75.1495255,145.532365
91400390,001-926-644-4796x2740,White,"أبو داوود, آل معيض and الدباغ",22.957993,-8.501072
94651676,2257825897,Gold,"آل بن ظافر, آل مقطة and كانو",86.0574335,-143.078525
49028317,(253)600-8443x479,RoyalBlue,المهيدب Group,48.173190,-29.444678
19672984,1361871168,Chartreuse,آل حسين Group,45.254305,-144.804089
68904876,8201806714,Plum,فصيل-الجابر,31.279909,54.300494
14820878,0607483103,LightYellow,"الراشد, آل بن لافي and آل معيض",88.037124,-49.501049
56296891,(679)741-7946,OrangeRed,"العجلان, حنبولي and آل سعود",-14.2809525,-101.488069
15229113,336.498.3023,SkyBlue,الدباغ Inc,80.9463285,-174.806138
07560941,677.447.9088,LightSalmon,آل خضير LLC,-64.958412,56.999834
64266558,(757)293-1997x443,DarkViolet,بقشان-الجفالي,-67.690520,126.502002
48033879,4513589052,DarkSeaGreen,"شربتلي, آل مقطة and آل جعفر",-49.296123,-19.366702
03715345,(692)545-3718x4485,LightYellow,آل معيض Ltd,40.5997995,90.647387
40039305,1282953200,BlanchedAlmond,الشايع Inc,16.5119655,96.360713
54355453,001-684-886-2113x8022,HotPink,مهنا-المهيدب,74.6313235,137.325143
97305279,562-303-3715,MediumSlateBlue,"آل معيض, الحكير and الدباغ",12.112771,-116.584454
48729536,001-173-480-3006x7468,HoneyDew,آل بن لافي-آل معيض,-65.758507,25.703987
55621830,001-187-307-6734x3245,DimGray,آل صفوان-بقشان,32.7802325,59.205868
82295974,0093182209,OldLace,الراشد-العليان,43.005799,-65.849736
15947079,9320492164,DarkMagenta,"أبا الخيل, آل حسين and أبا الخيل",65.0969445,-133.122909
51128500,(930)421-9312x521,GoldenRod,"المهنا, المشاولة and آل عايض",-18.5203125,-22.802679
71411989,033-478-6645x925,LightGreen,"الجابر, آل قصير and بن لادن",8.753178,-109.744550
40061399,(252)806-6238,Tomato,"الجفالي, أبا الخيل and آل عطفة",-67.180239,-140.544458
30144378,612-722-3119,Blue,"آل عواض, العقيل and الجابر",45.6927575,10.277038
60228451,+1-142-853-8981x437,Tomato,آل عايض PLC,-31.8434965,12.483942
51226664,531-369-5470x1124,DeepPink,آل الشيخ-كانو,36.0397935,-10.993029
78161009,+1-657-685-0603x33552,HoneyDew,فصيل-الجفالي,13.4162875,-97.955970
55760348,001-384-934-9779x6751,SeaGreen,آل معيض-العقيل,-26.9559255,-124.340308
72909300,001-633-085-3969x42369,Aquamarine,الحكير and Sons,16.183405,179.930321
58123256,+1-982-189-1315x8901,DarkTurquoise,آل رفيع LLC,70.081748,170.569584
93252287,662-890-9047x5922,Tomato,فصيل-آل سعود,4.7952095,22.560618
89174630,920-319-7021x146,LightSalmon,آل العسكري-آل الشيخ,-52.661502,-124.562241
68215699,051.742.9971,DarkSalmon,كانو-آل معيض,89.350388,157.635068
59349013,753.571.8904,OliveDrab,"آل بن ظافر, الدباغ and المهنا",-77.9398065,157.625104
36784424,0485002338,Pink,حنبولي Ltd,-26.7560075,69.504292
94136661,8227953299,CornflowerBlue,شربتلي Ltd,-16.0047525,35.308724
35527671,001-504-095-7665x4371,Linen,آل جعفر and Sons,-71.959485,-21.205403
00583862,(091)548-1206,DarkViolet,بقشان and Sons,31.2398225,32.105415
21375156,(459)069-2418,NavajoWhite,الجفالي-شربتلي,-48.437577,128.055404
67481521,648-335-1230,PaleVioletRed,كانو-بن لادن,25.629478,-48.739086
60522917,001-229-882-3291x10781,DarkSeaGreen,آل بن ظافر LLC,10.6550045,18.174075
24086004,829-867-4452x409,SlateBlue,الجفالي-الجفالي,28.773147,-98.806907
16519749,001-120-647-3137,OliveDrab,آل حسين PLC,35.457262,102.378908
25743371,128-293-0922,IndianRed,آل الشيخ LLC,77.0582795,-84.023809
91615664,005.685.5665,WhiteSmoke,آل جعفر-أبو داوود,55.946504,27.022019
08330390,7299744097,PaleVioletRed,آل حسين-المهيدب,-65.556900,-132.484884
07426698,(092)730-2335x67250,Maroon,العليان Inc,46.227977,-61.768438
07889868,+1-183-519-8596x472,DarkRed,حجار and Sons,7.8417305,-21.250697
59914044,+1-910-445-3662x5069,MediumPurple,"مهنا, الحجار and آل صفوان",-86.484178,-157.227308
83864049,(114)465-8517x37369,Brown,الدباغ and Sons,37.506138,-177.326692
88806099,001-533-097-8703,Chocolate,"الجابر, بن لادن and آل العسكري",14.791444,177.164170
95127712,4030994319,Azure,"أبو داوود, آل بن ظافر and حنبولي",-7.204618,-83.491607
44816667,(814)310-8742x341,MediumSlateBlue,آل الشيخ-العجلان,17.4617305,103.301270
40602271,+1-092-598-8976,SteelBlue,أبو داوود-آل معيض,-67.024809,-8.768930
00457484,+1-723-539-5061x43124,Thistle,المهنا-العليان,63.471749,-163.624080
11624783,060.945.8522,Purple,بقشان-كانو,61.3390135,56.282463
40160917,2265100917,FireBrick,"الجابر, آل الشيخ and المهيدب",17.8564965,133.367026
61619135,216.321.7169x651,LavenderBlush,بن لادن and Sons,71.237623,52.614107
29148103,752-006-1783,DarkSeaGreen,"آل عواض, المهيدب and آل حسين",87.0991625,-123.632777
53357670,001-061-486-1852x516,MediumVioletRed,أبو داوود and Sons,-5.6163365,-64.582478
89466001,+1-312-495-9936x101,Plum,آل رفيع-آل بن ظافر,2.1942545,34.005683
80470076,(872)115-5165,MediumAquaMarine,"آل قصير, آل عطفة and آل صفوان",12.8683855,-79.550369
44992491,+1-221-113-0174x30782,DarkSalmon,المشاولة LLC,18.9410825,-7.946336
28400721,9423033279,LemonChiffon,"آل معيض, العقيل and المغاولة",-82.6214715,-47.631405
30800496,5469886504,Blue,آل سعود Ltd,89.214418,-144.811182
70848311,3394013642,MediumSlateBlue,حجار Ltd,28.2521875,90.579308
74625185,331.493.2730,Lime,آل عايض-الدباغ,71.946956,158.499957
23505308,5797528284,MediumPurple,المغاولة LLC,-19.8203805,-8.385257
85381988,805-678-8149x775,CornflowerBlue,حنبولي Inc,61.726686,-150.364812
17428910,+1-840-449-5130x89519,DimGray,"حنبولي, حنبولي and آل سلطان",-5.241391,-29.674815
19615899,918.535.1201x8002,DeepSkyBlue,شربتلي and Sons,-36.866524,110.996943
00979511,010-166-7393x82650,DarkCyan,آل صفوان-آل الشيخ,-79.313168,-121.327952
83264696,771.221.2446,Sienna,"أبو داوود, شربتلي and آل عواض",-43.4935555,-65.989142
33528670,+1-462-924-0479x5578,MediumAquaMarine,آل حسين Inc,19.594942,-22.398686
14922602,(153)673-8638x5726,SeaGreen,الجابر LLC,-74.258436,103.637773
14184871,958.117.2444,OldLace,الشايع Group,-3.465875,-123.878744
49505436,001-569-154-0055x95768,LawnGreen,آل رفيع Inc,-39.800849,26.744124
92315549,916-326-3815x2681,LightGreen,العليان LLC,-40.3550495,-55.788679
36256990,8967573478,Tomato,المهيدب-بقشان,-6.5360245,-66.956093
08727107,001-933-769-5584,Peru,آل معيض-آل صفوان,34.559922,-178.800978
89338285,+1-135-509-9563,IndianRed,"الراشد, الجابر and الحكير",-23.9526065,3.530913
